UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,4.2,2020,999,331515736,164221426,167294310,125575177,126187485,21598641,23293744,2170398,2121578,9712825,10477978,432275,417214,4732110,4796311,129795709,130442451,23747894,25518693,3543055,3550554,11475911,12229293,846730,833807,132773596,136666979,98099108,99480060,20031062,21684946,1190391,1219322,9386338,10153459,312406,305506,3754291,3823686,101446046,102869025,21719546,23443115,2158921,2248808,10880952,11637087,637790,634068,31447830,30627331,27476069,26707425,1567579,1608798,980007,902256,326487,324519,119869,111708,977819,972625,28349663,27573426,2028348,2075578,1384134,1301746,594959,592206,208940,199739
R,4.2,2020,0,3735085,1908968,1826117,1328014,1267791,301138,292120,35619,34185,112459,106044,7141,6743,124597,119234,1442610,1377442,370227,358402,58705,56384,158492,149887,15680,14831,1412390,1348128,923952,878604,265753,257966,14069,13595,104658,98624,4383,4132,99575,95207,1016025,966620,321739,311633,28846,27794,142931,135062,10673,10091,496578,477989,404062,389187,35385,34154,21550,20590,7801,7420,2758,2611,25022,24027,426585,410822,48488,46769,29859,28590,15561,14825,5007,4740
R,4.2,2020,1,3777552,1929900,1847652,1343846,1283230,302160,294571,35654,34210,116068,109262,7276,6859,124896,119520,1458683,1393109,371187,360822,58872,56545,162358,153306,15862,14992,1428028,1363205,934862,887944,266475,260005,14252,13838,108180,101768,4478,4223,99781,95427,1027083,976130,322315,313613,29126,28151,146723,138390,10823,10220,501872,484447,408984,395286,35685,34566,21402,20372,7888,7494,2798,2636,25115,24093,431600,416979,48872,47209,29746,28394,15635,14916,5039,4772
R,4.2,2020,2,3873736,1981394,1892342,1377207,1312364,310146,301885,36622,34528,122890,115238,7381,7015,127148,121312,1494067,1423850,380027,369010,60372,57272,170252,160002,16157,15298,1467815,1398439,956206,907143,275438,268159,14642,13997,115067,107784,4646,4373,101816,96983,1050246,996711,332132,322573,29892,28617,154618,145055,11150,10483,513579,493903,421001,405221,34708,33726,21980,20531,7823,7454,2735,2642,25332,24329,443821,427139,47895,46437,30480,28655,15634,14947,5007,4815
R,4.2,2020,3,3966696,2029867,1936829,1418261,1349112,310567,302729,35628,34641,129428,120865,7531,7131,128452,122351,1536229,1461591,380268,369783,59841,57833,177976,166323,16584,15597,1505958,1432804,985188,932805,275813,269171,15551,14945,121663,113479,4832,4489,102911,97915,1080126,1023253,332232,323521,31229,29922,162326,151423,11600,10762,523909,504025,433073,416307,34754,33558,20077,19696,7765,7386,2699,2642,25541,24436,456103,438338,48036,46262,28612,27911,15650,14900,4984,4835
R,4.2,2020,4,4049711,2069807,1979904,1459937,1390786,312810,305926,35180,33876,125666,118639,7386,7064,128828,123613,1578381,1504442,382518,373482,59850,57484,174033,164522,16437,15619,1535275,1466043,1014871,963130,278744,272865,16018,15310,117875,111315,4641,4451,103126,98972,1110142,1054576,335222,327652,32013,30613,158281,149613,11361,10802,534532,513861,445066,427656,34066,33061,19162,18566,7791,7324,2745,2613,25702,24641,468239,449866,47296,45830,27837,26871,15752,14909,5076,4817
R,4.2,2020,5,4078129,2082613,1995516,1465306,1399189,316895,309587,35229,34229,129200,122034,7287,7131,128696,123346,1583618,1512553,386469,376739,59924,57936,177528,167931,16369,15744,1551767,1481804,1023245,971661,282358,276103,16348,15763,121820,114853,4702,4556,103294,98868,1118643,1062954,338753,330569,32472,31172,162367,153271,11511,11005,530846,513712,442061,427528,34537,33484,18881,18466,7380,7181,2585,2575,25402,24478,464975,449599,47716,46170,27452,26764,15161,14660,4858,4739
R,4.2,2020,6,4048712,2073904,1974808,1463748,1388193,317309,307831,35445,34134,123757,116813,6941,6607,126704,121230,1580223,1499576,385588,374162,60043,57600,171260,161532,15977,15085,1545566,1469068,1023293,967011,282805,274624,16705,15950,116702,110136,4506,4270,101555,97077,1117107,1056620,338115,328442,32805,31245,156449,147464,11206,10545,528338,505740,440455,421182,34504,33207,18740,18184,7055,6677,2435,2337,25149,24153,463116,442956,47473,45720,27238,26355,14811,14068,4771,4540
R,4.2,2020,7,4054232,2070504,1983728,1459811,1394232,314795,306958,35082,34123,128294,121399,7095,6799,125427,120217,1574962,1504577,381754,371927,59524,57625,175931,166368,16247,15412,1543934,1475094,1019428,969400,281275,274504,16717,16036,121395,114583,4650,4384,100469,96187,1112075,1058100,335394,327049,32683,31381,161363,152185,11457,10753,526570,508634,440383,424832,33520,32454,18365,18087,6899,6816,2445,2415,24958,24030,462887,446477,46360,44878,26841,26244,14568,14183,4790,4659
R,4.2,2020,8,4073479,2087120,1986359,1480398,1404854,317585,307097,36399,34616,121489,114960,6759,6507,124490,118325,1594714,1513487,384407,370972,61076,58091,168096,158953,15733,15007,1550997,1472624,1031424,974296,284130,275043,17033,16198,114716,108450,4351,4177,99343,94460,1123072,1061440,338032,326629,33102,31491,153627,145147,10985,10439,536123,513735,448974,430558,33455,32054,19366,18418,6773,6510,2408,2330,25147,23865,471642,452047,46375,44343,27974,26600,14469,13806,4748,4568
R,4.2,2020,9,4114609,2110226,2004383,1505485,1425995,319994,308450,34047,33065,119302,112546,6655,6286,124743,118041,1620127,1534351,386753,372108,58976,56967,165874,156111,15690,14718,1562767,1479274,1040663,980627,288608,277912,17112,16450,112759,106369,4370,4136,99255,93780,1132279,1067075,342356,329091,33296,31984,151579,142639,11030,10355,547459,525109,464822,445368,31386,30538,16935,16615,6543,6177,2285,2150,25488,24261,487848,467276,44397,43017,25680,24983,14295,13472,4660,4363
R,4.2,2020,10,4212820,2157603,2055217,1548586,1467735,325961,315245,34077,32895,117961,112735,6465,6295,124553,120312,1663358,1578317,392920,380541,59095,57338,163717,156471,15217,14726,1592347,1513787,1065921,1005614,294336,284899,17620,17110,111558,106627,4346,4192,98566,95345,1157155,1093610,348097,337223,33646,32916,149492,143092,10787,10388,565256,541430,482665,462121,31625,30346,16457,15785,6403,6108,2119,2103,25987,24967,506203,484707,44823,43318,25449,24422,14225,13379,4430,4338
